Date,Name,Year,Letterboxd URI,Rating
2024-06-06,The Big Lebowski,1998,https://boxd.it/2b6C,4.5
2024-06-07,Mad Max,1979,https://boxd.it/1Y7i,1
2024-06-07,Mad Max 2,1981,https://boxd.it/1ZPg,4.5
2024-06-08,Mad Max Beyond Thunderdome,1985,https://boxd.it/1YTm,2
2024-06-08,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2024-06-25,Chappie,2015,https://boxd.it/5Y3e,2.5
2024-07-01,Madagascar,2005,https://boxd.it/29dc,3
2024-07-02,Summer Storm,2004,https://boxd.it/2axW,3
2024-07-24,Love Lies Bleeding,2024,https://boxd.it/zN4q,4.5
2024-08-02,The Promised Land,2023,https://boxd.it/B1hA,3.5
2024-08-03,The Rescue,2021,https://boxd.it/pmto,5
2024-08-03,Free Solo,2018,https://boxd.it/iEEq,5
2024-08-09,A Quiet Place: Day One,2024,https://boxd.it/sDAi,4.5
2024-08-11,Sunshine Barry & the Disco Worms,2008,https://boxd.it/1Lpy,1
2024-08-11,Titane,2021,https://boxd.it/nlQC,4
2024-08-12,Longlegs,2024,https://boxd.it/KzLM,4.5
2024-09-08,Alien,1979,https://boxd.it/2awY,5
2024-09-09,Aliens,1986,https://boxd.it/29PA,5
2024-09-09,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,4
2024-09-12,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3
2024-09-17,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,3.5
2024-09-17,Life of Brian,1979,https://boxd.it/2a4q,3
2024-09-29,Clueless,1995,https://boxd.it/1Ygk,4
2024-10-07,Twin Peaks,1989,https://boxd.it/g8pk,5
2024-10-07,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,5
2024-10-18,The Substance,2024,https://boxd.it/zanS,4.5
2024-10-25,Airplane!,1980,https://boxd.it/29yu,3.5
2024-10-31,Twin Peaks: The Return,2017,https://boxd.it/hN9O,5
2024-10-31,I Saw the TV Glow,2024,https://boxd.it/woVe,4
2024-11-19,AlphaGo,2017,https://boxd.it/geTA,3.5
2024-11-19,Pawn Sacrifice,2014,https://boxd.it/7dlE,3
2024-11-24,Conclave,2024,https://boxd.it/AO8q,4.5
